Date/Time,Value
6/23/2022 1:07,13.5
6/23/2022 2:07,12.5
6/23/2022 3:07,12
6/23/2022 4:07,11.5
6/23/2022 5:07,11
6/23/2022 6:07,11
6/23/2022 7:07,11.5
6/23/2022 8:07,13
6/23/2022 9:07,18.5
6/23/2022 10:07,18.5
6/23/2022 11:07,19.5
6/23/2022 12:07,22.5
6/23/2022 13:07,29
6/23/2022 14:07,39.5
6/23/2022 15:07,41
6/23/2022 16:07,35
6/23/2022 17:07,22.5
6/23/2022 18:07,10.5
6/23/2022 19:07,9.5
6/23/2022 20:07,11.5
6/23/2022 21:07,11.5
6/23/2022 22:07,11
6/23/2022 23:07,10.5
6/24/2022 0:07,10.5
6/24/2022 1:07,10
6/24/2022 2:07,9.5
6/24/2022 3:07,9.5
6/24/2022 4:07,9.5
6/24/2022 5:07,9.5
6/24/2022 6:07,9
6/24/2022 7:07,18.5
6/24/2022 8:07,25
6/24/2022 9:07,30
6/24/2022 10:07,30.5
6/24/2022 11:07,34.5
6/24/2022 12:07,30.5
6/24/2022 13:07,38
6/24/2022 14:07,40.5
6/24/2022 15:07,43.5
6/24/2022 16:07,37.5
6/24/2022 17:07,32
6/24/2022 18:07,25.5
6/24/2022 19:07,21
6/24/2022 20:07,18.5
6/24/2022 21:07,16
6/24/2022 22:07,14.5
6/24/2022 23:07,14
6/25/2022 0:07,13
6/25/2022 1:07,12.5
6/25/2022 2:07,11
6/25/2022 3:07,10.5
6/25/2022 4:07,10
6/25/2022 5:07,9.5
6/25/2022 6:07,10.5
6/25/2022 7:07,18.5
6/25/2022 8:07,22.5
6/25/2022 9:07,24.5
6/25/2022 10:07,26
6/25/2022 11:07,29
6/25/2022 12:07,31.5
6/25/2022 13:07,33.5
6/25/2022 14:07,34.5
6/25/2022 15:07,35
6/25/2022 16:07,37.5
6/25/2022 17:07,27.5
6/25/2022 18:07,26
6/25/2022 19:07,24
6/25/2022 20:07,18
6/25/2022 21:07,16.5
6/25/2022 22:07,16
6/25/2022 23:07,15
6/26/2022 0:07,15
6/26/2022 1:07,16
6/26/2022 2:07,14.5
6/26/2022 3:07,13.5
6/26/2022 4:07,11.5
6/26/2022 5:07,12
6/26/2022 6:07,12
6/26/2022 7:07,21.5
6/26/2022 8:07,27.5
6/26/2022 9:07,31
6/26/2022 10:07,35
6/26/2022 11:07,36
6/26/2022 12:07,32.5
6/26/2022 13:07,29.5
6/26/2022 14:07,32
6/26/2022 15:07,27.5
6/26/2022 16:07,29.5
6/26/2022 17:07,27
6/26/2022 18:07,23
6/26/2022 19:07,23.5
6/26/2022 20:07,19
6/26/2022 21:07,17
6/26/2022 22:07,16
6/26/2022 23:07,15.5
6/27/2022 0:07,15
6/27/2022 1:07,15
6/27/2022 2:07,15
6/27/2022 3:07,13.5
6/27/2022 4:07,12
6/27/2022 5:07,11.5
6/27/2022 6:07,12
6/27/2022 7:07,19.5
6/27/2022 8:07,30.5
6/27/2022 9:07,33
6/27/2022 10:07,38
6/27/2022 11:07,39
6/27/2022 12:07,39
6/27/2022 13:07,41.5
6/27/2022 14:07,40.5
6/27/2022 15:07,38.5
6/27/2022 16:07,33
6/27/2022 17:07,31
6/27/2022 18:07,28
6/27/2022 19:07,24.5
6/27/2022 20:07,19
6/27/2022 21:07,17
6/27/2022 22:07,15.5
6/27/2022 23:07,15
6/28/2022 0:07,14.5
6/28/2022 1:07,13
6/28/2022 2:07,12.5
6/28/2022 3:07,13
6/28/2022 4:07,13
6/28/2022 5:07,13
6/28/2022 6:07,12.5
6/28/2022 7:07,18
6/28/2022 8:07,22.5
6/28/2022 9:07,25.5
6/28/2022 10:07,28.5
6/28/2022 11:07,31.5
6/28/2022 12:07,32
6/28/2022 13:07,31.5
6/28/2022 14:07,32
6/28/2022 15:07,31
6/28/2022 16:07,29.5
6/28/2022 17:07,28
6/28/2022 18:07,25.5
6/28/2022 19:07,22
6/28/2022 20:07,17
6/28/2022 21:07,14.5
6/28/2022 22:07,13.5
6/28/2022 23:07,12.5
6/29/2022 0:07,12
6/29/2022 1:07,12
6/29/2022 2:07,11.5
6/29/2022 3:07,7.5
6/29/2022 4:07,10
6/29/2022 5:07,9.5
6/29/2022 6:07,9.5
6/29/2022 7:07,18
6/29/2022 8:07,22.5
6/29/2022 9:07,25.5
6/29/2022 10:07,27
6/29/2022 11:07,28.5
6/29/2022 12:07,31
6/29/2022 13:07,31
6/29/2022 14:07,33.5
6/29/2022 15:07,33.5
6/29/2022 16:07,31
6/29/2022 17:07,28
6/29/2022 18:07,25
6/29/2022 19:07,21.5
6/29/2022 20:07,16.5
6/29/2022 21:07,14
6/29/2022 22:07,13
6/29/2022 23:07,12
6/30/2022 0:07,11
6/30/2022 1:07,10.5
6/30/2022 2:07,10
6/30/2022 3:07,9
6/30/2022 4:07,8
6/30/2022 5:07,8
6/30/2022 6:07,9
6/30/2022 7:07,16
6/30/2022 8:07,19.5
6/30/2022 9:07,23
6/30/2022 10:07,26.5
6/30/2022 11:07,30.5
6/30/2022 12:07,32.5
6/30/2022 13:07,33.5
6/30/2022 14:07,33
6/30/2022 15:07,33
6/30/2022 16:07,32
6/30/2022 17:07,29
6/30/2022 18:07,25.5
6/30/2022 19:07,21
6/30/2022 20:07,15
6/30/2022 21:07,13
6/30/2022 22:07,11.5
6/30/2022 23:07,11
7/1/2022 0:07,11
7/1/2022 1:07,10.5
7/1/2022 2:07,10.5
7/1/2022 3:07,10
7/1/2022 4:07,9.5
7/1/2022 5:07,9.5
7/1/2022 6:07,9
7/1/2022 7:07,15.5
7/1/2022 8:07,20.5
7/1/2022 9:07,25
7/1/2022 10:07,30.5
7/1/2022 11:07,30
7/1/2022 12:07,35
7/1/2022 13:07,34
7/1/2022 14:07,33
7/1/2022 15:07,32
7/1/2022 16:07,31.5
7/1/2022 17:07,29.5
7/1/2022 18:07,27
7/1/2022 19:07,22.5
7/1/2022 20:07,16.5
7/1/2022 21:07,14
7/1/2022 22:07,12.5
7/1/2022 23:07,12
7/2/2022 0:07,11.5
7/2/2022 1:07,11
7/2/2022 2:07,10.5
7/2/2022 3:07,11
7/2/2022 4:07,10.5
7/2/2022 5:07,10
7/2/2022 6:07,10
7/2/2022 7:07,14
7/2/2022 8:07,22
7/2/2022 9:07,14.5
7/2/2022 10:07,25.5
7/2/2022 11:07,31
7/2/2022 12:07,27.5
7/2/2022 13:07,30.5
7/2/2022 14:07,30
7/2/2022 15:07,31.5
7/2/2022 16:07,23
7/2/2022 17:07,18.5
7/2/2022 18:07,21.5
7/2/2022 19:07,17.5
7/2/2022 20:07,12.5
7/2/2022 21:07,10
7/2/2022 22:07,8.5
7/2/2022 23:07,7.5
7/3/2022 0:07,7
7/3/2022 1:07,6
7/3/2022 2:07,6
7/3/2022 3:07,5.5
7/3/2022 4:07,5
7/3/2022 5:07,5.5
7/3/2022 6:07,6
7/3/2022 7:07,8
7/3/2022 8:07,16.5
7/3/2022 9:07,13
7/3/2022 10:07,20
7/3/2022 11:07,18
7/3/2022 12:07,21.5
7/3/2022 13:07,24
7/3/2022 14:07,24
7/3/2022 15:07,26
7/3/2022 16:07,17.5
7/3/2022 17:07,21.5
7/3/2022 18:07,20.5
7/3/2022 19:07,17
7/3/2022 20:07,11.5
7/3/2022 21:07,9
7/3/2022 22:07,7
7/3/2022 23:07,6
7/4/2022 0:07,6
7/4/2022 1:07,5.5
7/4/2022 2:07,4.5
7/4/2022 3:07,4.5
7/4/2022 4:07,4.5
7/4/2022 5:07,4
7/4/2022 6:07,5
7/4/2022 7:07,11.5
7/4/2022 8:07,18
7/4/2022 9:07,21
7/4/2022 10:07,23
7/4/2022 11:07,26
7/4/2022 12:07,26.5
7/4/2022 13:07,29
7/4/2022 14:07,29
7/4/2022 15:07,28.5
7/4/2022 16:07,28
7/4/2022 17:07,25
7/4/2022 18:07,21.5
7/4/2022 19:07,18
7/4/2022 20:07,11.5
7/4/2022 21:07,9.5
7/4/2022 22:07,8
7/4/2022 23:07,7.5
7/5/2022 0:07,7
7/5/2022 1:07,7
7/5/2022 2:07,6
7/5/2022 3:07,4.5
7/5/2022 4:07,4.5
7/5/2022 5:07,4
7/5/2022 6:07,4.5
7/5/2022 7:07,14.5
7/5/2022 8:07,22
7/5/2022 9:07,25.5
7/5/2022 10:07,30.5
7/5/2022 11:07,29
7/5/2022 12:07,27.5
7/5/2022 13:07,29.5
7/5/2022 14:07,28
7/5/2022 15:07,31.5
7/5/2022 16:07,24.5
7/5/2022 17:07,22
7/5/2022 18:07,16
7/5/2022 19:07,17.5
7/5/2022 20:07,12.5
7/5/2022 21:07,10.5
7/5/2022 22:07,9.5
7/5/2022 23:07,8.5
7/6/2022 0:07,8.5
7/6/2022 1:07,9
7/6/2022 2:07,9
7/6/2022 3:07,8
7/6/2022 4:07,8
7/6/2022 5:07,7.5
7/6/2022 6:07,7.5
7/6/2022 7:07,13.5
7/6/2022 8:07,22
7/6/2022 9:07,24
7/6/2022 10:07,28
7/6/2022 11:07,30
7/6/2022 12:07,31.5
7/6/2022 13:07,37
7/6/2022 14:07,33
7/6/2022 15:07,33
7/6/2022 16:07,32.5
7/6/2022 17:07,28.5
7/6/2022 18:07,25
7/6/2022 19:07,20
7/6/2022 20:07,14
7/6/2022 21:07,11.5
7/6/2022 22:07,10.5
7/6/2022 23:07,9.5
7/7/2022 0:07,9.5
7/7/2022 1:07,9.5
7/7/2022 2:07,10
7/7/2022 3:07,10
7/7/2022 4:07,8
7/7/2022 5:07,7.5
7/7/2022 6:07,8.5
7/7/2022 7:07,13.5
7/7/2022 8:07,20.5
7/7/2022 9:07,24.5
7/7/2022 10:07,29
7/7/2022 11:07,31.5
7/7/2022 12:07,34
7/7/2022 13:07,34.5
7/7/2022 14:07,34
7/7/2022 15:07,32
7/7/2022 16:07,32.5
7/7/2022 17:07,30
7/7/2022 18:07,26
7/7/2022 19:07,22
7/7/2022 20:07,16
7/7/2022 21:07,13.5
7/7/2022 22:07,12.5
7/7/2022 23:07,11.5
7/8/2022 0:07,11
7/8/2022 1:07,10.5
7/8/2022 2:07,10.5
7/8/2022 3:07,10
7/8/2022 4:07,9.5
7/8/2022 5:07,9
7/8/2022 6:07,9.5
7/8/2022 7:07,15
7/8/2022 8:07,20.5
7/8/2022 9:07,25
7/8/2022 10:07,29
7/8/2022 11:07,35
7/8/2022 12:07,34.5
7/8/2022 13:07,33
7/8/2022 14:07,36.5
7/8/2022 15:07,33
7/8/2022 16:07,33.5
7/8/2022 17:07,31.5
7/8/2022 18:07,28
7/8/2022 19:07,23.5
7/8/2022 20:07,16.5
7/8/2022 21:07,14.5
7/8/2022 22:07,13
7/8/2022 23:07,12
7/9/2022 0:07,11
7/9/2022 1:07,11
7/9/2022 2:07,10
7/9/2022 3:07,10
7/9/2022 4:07,10
7/9/2022 5:07,9.5
7/9/2022 6:07,9.5
7/9/2022 7:07,12.5
7/9/2022 8:07,16.5
7/9/2022 9:07,21
7/9/2022 10:07,25.5
7/9/2022 11:07,29
7/9/2022 12:07,30.5
7/9/2022 13:07,32
7/9/2022 14:07,33
7/9/2022 15:07,32.5
7/9/2022 16:07,31
