raw_date_time,temp,otm
6/13/2022 14:19,18.5,H10
6/13/2022 15:19,12,H10
6/13/2022 16:19,13.5,H10
6/13/2022 17:19,14,H10
6/13/2022 18:19,13,H10
6/13/2022 19:19,11.5,H10
6/13/2022 20:19,6.5,H10
6/13/2022 21:19,3.5,H10
6/13/2022 22:19,2.5,H10
6/13/2022 23:19,2,H10
6/14/2022 0:19,1.5,H10
6/14/2022 1:19,1,H10
6/14/2022 2:19,0,H10
6/14/2022 3:19,0,H10
6/14/2022 4:19,-1,H10
6/14/2022 5:19,-1,H10
6/14/2022 6:19,0,H10
6/14/2022 7:19,7.5,H10
6/14/2022 8:19,12,H10
6/14/2022 9:19,15,H10
6/14/2022 10:19,17,H10
6/14/2022 11:19,19,H10
6/14/2022 12:19,21,H10
6/14/2022 13:19,20.5,H10
6/14/2022 14:19,20.5,H10
6/14/2022 15:19,21,H10
6/14/2022 16:19,22,H10
6/14/2022 17:19,21,H10
6/14/2022 18:19,20,H10
6/14/2022 19:19,18.5,H10
6/14/2022 20:19,12,H10
6/14/2022 21:19,9,H10
6/14/2022 22:19,9,H10
6/14/2022 23:19,8,H10
6/15/2022 0:19,7.5,H10
6/15/2022 1:19,6.5,H10
6/15/2022 2:19,5.5,H10
6/15/2022 3:19,5,H10
6/15/2022 4:19,4.5,H10
6/15/2022 5:19,5,H10
6/15/2022 6:19,5.5,H10
6/15/2022 7:19,13,H10
6/15/2022 8:19,14,H10
6/15/2022 9:19,15.5,H10
6/15/2022 10:19,18,H10
6/15/2022 11:19,23,H10
6/15/2022 12:19,24.5,H10
6/15/2022 13:19,29,H10
6/15/2022 14:19,33,H10
6/15/2022 15:19,35,H10
6/15/2022 16:19,31.5,H10
6/15/2022 17:19,28.5,H10
6/15/2022 18:19,25,H10
6/15/2022 19:19,21.5,H10
6/15/2022 20:19,17.5,H10
6/15/2022 21:19,14.5,H10
6/15/2022 22:19,13,H10
6/15/2022 23:19,12,H10
6/16/2022 0:19,12.5,H10
6/16/2022 1:19,12.5,H10
6/16/2022 2:19,12,H10
6/16/2022 3:19,11.5,H10
6/16/2022 4:19,11.5,H10
6/16/2022 5:19,11,H10
6/16/2022 6:19,11.5,H10
6/16/2022 7:19,14,H10
6/16/2022 8:19,16.5,H10
6/16/2022 9:19,17.5,H10
6/16/2022 10:19,18,H10
6/16/2022 11:19,20,H10
6/16/2022 12:19,22.5,H10
6/16/2022 13:19,23,H10
6/16/2022 14:19,23.5,H10
6/16/2022 15:19,23.5,H10
6/16/2022 16:19,23,H10
6/16/2022 17:19,22,H10
6/16/2022 18:19,20,H10
6/16/2022 19:19,17,H10
6/16/2022 20:19,14,H10
6/16/2022 21:19,12,H10
6/16/2022 22:19,10.5,H10
6/16/2022 23:19,10.5,H10
6/17/2022 0:19,10,H10
6/17/2022 1:19,10.5,H10
6/17/2022 2:19,10,H10
6/17/2022 3:19,8,H10
6/17/2022 4:19,4.5,H10
6/17/2022 5:19,6.5,H10
6/17/2022 6:19,6,H10
6/17/2022 7:19,7,H10
6/17/2022 8:19,7.5,H10
6/17/2022 9:19,7.5,H10
6/17/2022 10:19,11,H10
6/17/2022 11:19,14.5,H10
6/17/2022 12:19,16,H10
6/17/2022 13:19,11.5,H10
6/17/2022 14:19,11.5,H10
6/17/2022 15:19,12.5,H10
6/17/2022 16:19,14.5,H10
6/17/2022 17:19,14.5,H10
6/17/2022 18:19,8.5,H10
6/17/2022 19:19,7,H10
6/17/2022 20:19,5,H10
6/17/2022 21:19,2,H10
6/17/2022 22:19,0.5,H10
6/17/2022 23:19,-0.5,H10
6/18/2022 0:19,-1,H10
6/18/2022 1:19,-1.5,H10
6/18/2022 2:19,-2,H10
6/18/2022 3:19,-2.5,H10
6/18/2022 4:19,-2.5,H10
6/18/2022 5:19,-2.5,H10
6/18/2022 6:19,-2,H10
6/18/2022 7:19,1.5,H10
6/18/2022 8:19,2.5,H10
6/18/2022 9:19,5,H10
6/18/2022 10:19,8,H10
6/18/2022 11:19,12,H10
6/18/2022 12:19,13.5,H10
6/18/2022 13:19,9,H10
6/18/2022 14:19,15.5,H10
6/18/2022 15:19,8.5,H10
6/18/2022 16:19,9,H10
6/18/2022 17:19,7,H10
6/18/2022 18:19,10,H10
6/18/2022 19:19,6.5,H10
6/18/2022 20:19,2.5,H10
6/18/2022 21:19,1,H10
6/18/2022 22:19,0.5,H10
6/18/2022 23:19,0,H10
6/19/2022 0:19,0,H10
6/19/2022 1:19,-0.5,H10
6/19/2022 2:19,-1,H10
6/19/2022 3:19,-1,H10
6/19/2022 4:19,-1,H10
6/19/2022 5:19,-2,H10
6/19/2022 6:19,-2,H10
6/19/2022 7:19,3,H10
6/19/2022 8:19,8,H10
6/19/2022 9:19,5.5,H10
6/19/2022 10:19,8.5,H10
6/19/2022 11:19,11.5,H10
6/19/2022 12:19,13,H10
6/19/2022 13:19,15,H10
6/19/2022 14:19,15,H10
6/19/2022 15:19,16.5,H10
6/19/2022 16:19,15.5,H10
6/19/2022 17:19,13.5,H10
6/19/2022 18:19,12,H10
6/19/2022 19:19,11.5,H10
6/19/2022 20:19,7.5,H10
6/19/2022 21:19,5.5,H10
6/19/2022 22:19,5,H10
6/19/2022 23:19,4.5,H10
6/20/2022 0:19,4,H10
6/20/2022 1:19,3.5,H10
6/20/2022 2:19,3,H10
6/20/2022 3:19,2,H10
6/20/2022 4:19,1.5,H10
6/20/2022 5:19,0,H10
6/20/2022 6:19,1.5,H10
6/20/2022 7:19,10.5,H10
6/20/2022 8:19,13,H10
6/20/2022 9:19,15.5,H10
6/20/2022 10:19,15.5,H10
6/20/2022 11:19,20.5,H10
6/20/2022 12:19,19,H10
6/20/2022 13:19,19.5,H10
6/20/2022 14:19,27.5,H10
6/20/2022 15:19,29.5,H10
6/20/2022 16:19,24.5,H10
6/20/2022 17:19,26.5,H10
6/20/2022 18:19,17,H10
6/20/2022 19:19,15,H10
