raw_date_time,temp,otm
6/13/2022 13:01,26.5,H149
6/13/2022 14:01,27.5,H149
6/13/2022 15:01,25.5,H149
6/13/2022 16:01,17.5,H149
6/13/2022 17:01,15.5,H149
6/13/2022 18:01,10.5,H149
6/13/2022 19:01,7,H149
6/13/2022 20:01,5.5,H149
6/13/2022 21:01,4,H149
6/13/2022 22:01,3,H149
6/13/2022 23:01,2,H149
6/14/2022 0:01,1.5,H149
6/14/2022 1:01,1,H149
6/14/2022 2:01,0,H149
6/14/2022 3:01,-0.5,H149
6/14/2022 4:01,-0.5,H149
6/14/2022 5:01,-1.5,H149
6/14/2022 6:01,-1,H149
6/14/2022 7:01,5,H149
6/14/2022 8:01,18,H149
6/14/2022 9:01,24.5,H149
6/14/2022 10:01,28.5,H149
6/14/2022 11:01,32.5,H149
6/14/2022 12:01,36,H149
6/14/2022 13:01,39.5,H149
6/14/2022 14:01,40,H149
6/14/2022 15:01,40.5,H149
6/14/2022 16:01,30,H149
6/14/2022 17:01,23,H149
6/14/2022 18:01,18,H149
6/14/2022 19:01,13.5,H149
6/14/2022 20:01,10.5,H149
6/14/2022 21:01,9,H149
6/14/2022 22:01,8,H149
6/14/2022 23:01,8,H149
6/15/2022 0:01,7,H149
6/15/2022 1:01,6,H149
6/15/2022 2:01,3.5,H149
6/15/2022 3:01,3.5,H149
6/15/2022 4:01,3.5,H149
6/15/2022 5:01,3,H149
6/15/2022 6:01,4,H149
6/15/2022 7:01,8.5,H149
6/15/2022 8:01,21.5,H149
6/15/2022 9:01,28,H149
6/15/2022 10:01,30.5,H149
6/15/2022 11:01,36,H149
6/15/2022 12:01,41.5,H149
6/15/2022 13:01,45,H149
6/15/2022 14:01,47.5,H149
6/15/2022 15:01,48,H149
6/15/2022 16:01,37,H149
6/15/2022 17:01,31.5,H149
6/15/2022 18:01,26,H149
6/15/2022 19:01,19,H149
6/15/2022 20:01,16,H149
6/15/2022 21:01,13.5,H149
6/15/2022 22:01,12,H149
6/15/2022 23:01,11,H149
6/16/2022 0:01,10.5,H149
6/16/2022 1:01,10,H149
6/16/2022 2:01,10,H149
6/16/2022 3:01,10,H149
6/16/2022 4:01,10,H149
6/16/2022 5:01,9,H149
6/16/2022 6:01,9,H149
6/16/2022 7:01,13,H149
6/16/2022 8:01,22,H149
6/16/2022 9:01,28.5,H149
6/16/2022 10:01,29,H149
6/16/2022 11:01,31,H149
6/16/2022 12:01,34,H149
6/16/2022 13:01,36,H149
6/16/2022 14:01,36,H149
6/16/2022 15:01,34.5,H149
6/16/2022 16:01,28,H149
6/16/2022 17:01,23.5,H149
6/16/2022 18:01,20,H149
6/16/2022 19:01,16.5,H149
6/16/2022 20:01,14,H149
6/16/2022 21:01,12,H149
6/16/2022 22:01,10.5,H149
6/16/2022 23:01,10,H149
6/17/2022 0:01,9,H149
6/17/2022 1:01,9.5,H149
6/17/2022 2:01,9.5,H149
6/17/2022 3:01,8.5,H149
6/17/2022 4:01,6,H149
6/17/2022 5:01,6,H149
6/17/2022 6:01,6,H149
6/17/2022 7:01,6.5,H149
6/17/2022 8:01,8.5,H149
6/17/2022 9:01,10.5,H149
6/17/2022 10:01,20.5,H149
6/17/2022 11:01,30.5,H149
6/17/2022 12:01,34.5,H149
6/17/2022 13:01,23,H149
6/17/2022 14:01,21,H149
6/17/2022 15:01,20,H149
6/17/2022 16:01,23.5,H149
6/17/2022 17:01,22.5,H149
6/17/2022 18:01,16.5,H149
6/17/2022 19:01,11.5,H149
6/17/2022 20:01,7.5,H149
6/17/2022 21:01,4.5,H149
6/17/2022 22:01,2,H149
6/17/2022 23:01,0.5,H149
6/18/2022 0:01,0,H149
6/18/2022 1:01,-0.5,H149
6/18/2022 2:01,-1,H149
6/18/2022 3:01,-1.5,H149
6/18/2022 4:01,-2,H149
6/18/2022 5:01,-2.5,H149
6/18/2022 6:01,-1.5,H149
6/18/2022 7:01,3,H149
6/18/2022 8:01,15,H149
6/18/2022 9:01,22,H149
6/18/2022 10:01,25,H149
6/18/2022 11:01,25.5,H149
6/18/2022 12:01,22.5,H149
6/18/2022 13:01,21,H149
6/18/2022 14:01,33.5,H149
6/18/2022 15:01,23.5,H149
6/18/2022 16:01,18.5,H149
6/18/2022 17:01,14,H149
6/18/2022 18:01,11,H149
6/18/2022 19:01,7,H149
6/18/2022 20:01,5,H149
6/18/2022 21:01,2.5,H149
6/18/2022 22:01,1.5,H149
6/18/2022 23:01,1,H149
6/19/2022 0:01,0.5,H149
6/19/2022 1:01,0,H149
6/19/2022 2:01,-0.5,H149
6/19/2022 3:01,-0.5,H149
6/19/2022 4:01,-1,H149
6/19/2022 5:01,-1,H149
6/19/2022 6:01,-2,H149
6/19/2022 7:01,1,H149
6/19/2022 8:01,16.5,H149
6/19/2022 9:01,4,H149
6/19/2022 10:01,25,H149
6/19/2022 11:01,29.5,H149
6/19/2022 12:01,34,H149
6/19/2022 13:01,36,H149
6/19/2022 14:01,36,H149
6/19/2022 15:01,28,H149
6/19/2022 16:01,21.5,H149
6/19/2022 17:01,15.5,H149
6/19/2022 18:01,14,H149
6/19/2022 19:01,9.5,H149
6/19/2022 20:01,7,H149
6/19/2022 21:01,5.5,H149
6/19/2022 22:01,5,H149
6/19/2022 23:01,4.5,H149
6/20/2022 0:01,4,H149
6/20/2022 1:01,3.5,H149
6/20/2022 2:01,3,H149
6/20/2022 3:01,2.5,H149
6/20/2022 4:01,1,H149
6/20/2022 5:01,0,H149
6/20/2022 6:01,0.5,H149
6/20/2022 7:01,6.5,H149
6/20/2022 8:01,18,H149
6/20/2022 9:01,25,H149
6/20/2022 10:01,26.5,H149
6/20/2022 11:01,29,H149
6/20/2022 12:01,28,H149
6/20/2022 13:01,23,H149
6/20/2022 14:01,32,H149
6/20/2022 15:01,34.5,H149
6/20/2022 16:01,24.5,H149
6/20/2022 17:01,21,H149
6/20/2022 18:01,16.5,H149
6/20/2022 19:01,14.5,H149
6/20/2022 20:01,12.5,H149
6/20/2022 21:01,9.5,H149
6/20/2022 22:01,8.5,H149
6/20/2022 23:01,7.5,H149
6/21/2022 0:01,7,H149
6/21/2022 1:01,7.5,H149
6/21/2022 2:01,7,H149
6/21/2022 3:01,6.5,H149
6/21/2022 4:01,6.5,H149
6/21/2022 5:01,6,H149
6/21/2022 6:01,6,H149
6/21/2022 7:01,9.5,H149
6/21/2022 8:01,18,H149
6/21/2022 9:01,23.5,H149
6/21/2022 10:01,26.5,H149
6/21/2022 11:01,28.5,H149
6/21/2022 12:01,31.5,H149
6/21/2022 13:01,34,H149
6/21/2022 14:01,37.5,H149
6/21/2022 15:01,41,H149
6/21/2022 16:01,31,H149
6/21/2022 17:01,24,H149
6/21/2022 18:01,21.5,H149
6/21/2022 19:01,16,H149
6/21/2022 20:01,14.5,H149
6/21/2022 21:01,13,H149
6/21/2022 22:01,12.5,H149
6/21/2022 23:01,12,H149
6/22/2022 0:01,12,H149
6/22/2022 1:01,11.5,H149
6/22/2022 2:01,11,H149
6/22/2022 3:01,11,H149
6/22/2022 4:01,10.5,H149
6/22/2022 5:01,10.5,H149
6/22/2022 6:01,11,H149
6/22/2022 7:01,14.5,H149
6/22/2022 8:01,23.5,H149
6/22/2022 9:01,27.5,H149
6/22/2022 10:01,32.5,H149
6/22/2022 11:01,35,H149
6/22/2022 12:01,36.5,H149
6/22/2022 13:01,41.5,H149
6/22/2022 14:01,43.5,H149
6/22/2022 15:01,40.5,H149
6/22/2022 16:01,35.5,H149
6/22/2022 17:01,28,H149
6/22/2022 18:01,27,H149
6/22/2022 19:01,23,H149
6/22/2022 20:01,18,H149
6/22/2022 21:01,16,H149
6/22/2022 22:01,15,H149
6/22/2022 23:01,14.5,H149
6/23/2022 0:01,14.5,H149
6/23/2022 1:01,14,H149
6/23/2022 2:01,13,H149
6/23/2022 3:01,12.5,H149
6/23/2022 4:01,11.5,H149
6/23/2022 5:01,11.5,H149
6/23/2022 6:01,11.5,H149
6/23/2022 7:01,12.5,H149
6/23/2022 8:01,13.5,H149
6/23/2022 9:01,21,H149
6/23/2022 10:01,20,H149
6/23/2022 11:01,18,H149
6/23/2022 12:01,23.5,H149
6/23/2022 13:01,25,H149
6/23/2022 14:01,37.5,H149
6/23/2022 15:01,36.5,H149
6/23/2022 16:01,30,H149
6/23/2022 17:01,21.5,H149
6/23/2022 18:01,15.5,H149
6/23/2022 19:01,11,H149
6/23/2022 20:01,11.5,H149
6/23/2022 21:01,9.5,H149
6/23/2022 22:01,9.5,H149
6/23/2022 23:01,9,H149
6/24/2022 0:01,8.5,H149
6/24/2022 1:01,8,H149
6/24/2022 2:01,7.5,H149
6/24/2022 3:01,9.5,H149
6/24/2022 4:01,9.5,H149
6/24/2022 5:01,10,H149
6/24/2022 6:01,9.5,H149
6/24/2022 7:01,12.5,H149
6/24/2022 8:01,25,H149
6/24/2022 9:01,31.5,H149
6/24/2022 10:01,34,H149
6/24/2022 11:01,38.5,H149
6/24/2022 12:01,24.5,H149
6/24/2022 13:01,42,H149
6/24/2022 14:01,47,H149
6/24/2022 15:01,46,H149
6/24/2022 16:01,38,H149
6/24/2022 17:01,29,H149
6/24/2022 18:01,23.5,H149
6/24/2022 19:01,20,H149
6/24/2022 20:01,18.5,H149
6/24/2022 21:01,16.5,H149
6/24/2022 22:01,13.5,H149
6/24/2022 23:01,13,H149
6/25/2022 0:01,14,H149
6/25/2022 1:01,13,H149
6/25/2022 2:01,13,H149
6/25/2022 3:01,12.5,H149
6/25/2022 4:01,11.5,H149
6/25/2022 5:01,11,H149
6/25/2022 6:01,11.5,H149
6/25/2022 7:01,14.5,H149
6/25/2022 8:01,23.5,H149
6/25/2022 9:01,27.5,H149
6/25/2022 10:01,31,H149
6/25/2022 11:01,33,H149
6/25/2022 12:01,36,H149
6/25/2022 13:01,40.5,H149
6/25/2022 14:01,42.5,H149
6/25/2022 15:01,41.5,H149
6/25/2022 16:01,36.5,H149
6/25/2022 17:01,28.5,H149
6/25/2022 18:01,26,H149
6/25/2022 19:01,22.5,H149
6/25/2022 20:01,19,H149
6/25/2022 21:01,17,H149
6/25/2022 22:01,16,H149
6/25/2022 23:01,15,H149
6/26/2022 0:01,16,H149
6/26/2022 1:01,16,H149
6/26/2022 2:01,15.5,H149
6/26/2022 3:01,14.5,H149
6/26/2022 4:01,13,H149
6/26/2022 5:01,14,H149
6/26/2022 6:01,13.5,H149
6/26/2022 7:01,17,H149
6/26/2022 8:01,28,H149
6/26/2022 9:01,34,H149
6/26/2022 10:01,38.5,H149
6/26/2022 11:01,41.5,H149
6/26/2022 12:01,37,H149
6/26/2022 13:01,28,H149
6/26/2022 14:01,34,H149
6/26/2022 15:01,26.5,H149
6/26/2022 16:01,28,H149
6/26/2022 17:01,27.5,H149
6/26/2022 18:01,24.5,H149
6/26/2022 19:01,21.5,H149
6/26/2022 20:01,18,H149
6/26/2022 21:01,16,H149
6/26/2022 22:01,14.5,H149
6/26/2022 23:01,13.5,H149
6/27/2022 0:01,12.5,H149
6/27/2022 1:01,11,H149
6/27/2022 2:01,13,H149
6/27/2022 3:01,11.5,H149
6/27/2022 4:01,11.5,H149
6/27/2022 5:01,11,H149
6/27/2022 6:01,11.5,H149
6/27/2022 7:01,14.5,H149
6/27/2022 8:01,28.5,H149
6/27/2022 9:01,36,H149
6/27/2022 10:01,38.5,H149
6/27/2022 11:01,42.5,H149
6/27/2022 12:01,46.5,H149
6/27/2022 13:01,48,H149
6/27/2022 14:01,50.5,H149
6/27/2022 15:01,50.5,H149
6/27/2022 16:01,36,H149
6/27/2022 17:01,33,H149
6/27/2022 18:01,29,H149
6/27/2022 19:01,22,H149
6/27/2022 20:01,19.5,H149
6/27/2022 21:01,17,H149
6/27/2022 22:01,15.5,H149
6/27/2022 23:01,15,H149
6/28/2022 0:01,14,H149
6/28/2022 1:01,13,H149
6/28/2022 2:01,12,H149
6/28/2022 3:01,12,H149
6/28/2022 4:01,11.5,H149
6/28/2022 5:01,11,H149
6/28/2022 6:01,11,H149
6/28/2022 7:01,15,H149
6/28/2022 8:01,25,H149
6/28/2022 9:01,31.5,H149
6/28/2022 10:01,34.5,H149
6/28/2022 11:01,40.5,H149
6/28/2022 12:01,43,H149
6/28/2022 13:01,45,H149
6/28/2022 14:01,46.5,H149
6/28/2022 15:01,45.5,H149
6/28/2022 16:01,36.5,H149
6/28/2022 17:01,31,H149
6/28/2022 18:01,26.5,H149
6/28/2022 19:01,20,H149
6/28/2022 20:01,18,H149
6/28/2022 21:01,15.5,H149
6/28/2022 22:01,14,H149
6/28/2022 23:01,12.5,H149
6/29/2022 0:01,12,H149
6/29/2022 1:01,11.5,H149
6/29/2022 2:01,10.5,H149
6/29/2022 3:01,8.5,H149
6/29/2022 4:01,7.5,H149
6/29/2022 5:01,7.5,H149
6/29/2022 6:01,9,H149
6/29/2022 7:01,14,H149
6/29/2022 8:01,25.5,H149
6/29/2022 9:01,32.5,H149
6/29/2022 10:01,34,H149
6/29/2022 11:01,36.5,H149
6/29/2022 12:01,42.5,H149
6/29/2022 13:01,45,H149
6/29/2022 14:01,46,H149
6/29/2022 15:01,46.5,H149
6/29/2022 16:01,36.5,H149
6/29/2022 17:01,31,H149
6/29/2022 18:01,27,H149
6/29/2022 19:01,20,H149
6/29/2022 20:01,17.5,H149
6/29/2022 21:01,15,H149
6/29/2022 22:01,13.5,H149
6/29/2022 23:01,12,H149
6/30/2022 0:01,11,H149
6/30/2022 1:01,10,H149
6/30/2022 2:01,9.5,H149
6/30/2022 3:01,8.5,H149
6/30/2022 4:01,7,H149
6/30/2022 5:01,6.5,H149
6/30/2022 6:01,8,H149
6/30/2022 7:01,13,H149
6/30/2022 8:01,22.5,H149
6/30/2022 9:01,30,H149
6/30/2022 10:01,34.5,H149
6/30/2022 11:01,38,H149
6/30/2022 12:01,43,H149
6/30/2022 13:01,46,H149
6/30/2022 14:01,46.5,H149
6/30/2022 15:01,46,H149
6/30/2022 16:01,36.5,H149
6/30/2022 17:01,31,H149
6/30/2022 18:01,26.5,H149
6/30/2022 19:01,19,H149
6/30/2022 20:01,16,H149
6/30/2022 21:01,13.5,H149
6/30/2022 22:01,12,H149
6/30/2022 23:01,11,H149
7/1/2022 0:01,10.5,H149
7/1/2022 1:01,9.5,H149
7/1/2022 2:01,9,H149
7/1/2022 3:01,8.5,H149
7/1/2022 4:01,8.5,H149
7/1/2022 5:01,7.5,H149
7/1/2022 6:01,7.5,H149
7/1/2022 7:01,12,H149
7/1/2022 8:01,25,H149
7/1/2022 9:01,33,H149
7/1/2022 10:01,35.5,H149
7/1/2022 11:01,36.5,H149
