raw_date_time,temp,otm
6/13/2022 11:04,18,H50
6/13/2022 12:04,28,H50
6/13/2022 13:04,26.5,H50
6/13/2022 14:04,24.5,H50
6/13/2022 15:04,22.5,H50
6/13/2022 16:04,18.5,H50
6/13/2022 17:04,18.5,H50
6/13/2022 18:04,14.5,H50
6/13/2022 19:04,10.5,H50
6/13/2022 20:04,5,H50
6/13/2022 21:04,3.5,H50
6/13/2022 22:04,2.5,H50
6/13/2022 23:04,2,H50
6/14/2022 0:04,1.5,H50
6/14/2022 1:04,1,H50
6/14/2022 2:04,0.5,H50
6/14/2022 3:04,-1,H50
6/14/2022 4:04,-1.5,H50
6/14/2022 5:04,-2,H50
6/14/2022 6:04,-1.5,H50
6/14/2022 7:04,0,H50
6/14/2022 8:04,12,H50
6/14/2022 9:04,23,H50
6/14/2022 10:04,28,H50
6/14/2022 11:04,29,H50
6/14/2022 12:04,35.5,H50
6/14/2022 13:04,36,H50
6/14/2022 14:04,36.5,H50
6/14/2022 15:04,33.5,H50
6/14/2022 16:04,29.5,H50
6/14/2022 17:04,26.5,H50
6/14/2022 18:04,23,H50
6/14/2022 19:04,17,H50
6/14/2022 20:04,11,H50
6/14/2022 21:04,9,H50
6/14/2022 22:04,8,H50
6/14/2022 23:04,8,H50
6/15/2022 0:04,7,H50
6/15/2022 1:04,6,H50
6/15/2022 2:04,5,H50
6/15/2022 3:04,4.5,H50
6/15/2022 4:04,3.5,H50
6/15/2022 5:04,3,H50
6/15/2022 6:04,3.5,H50
6/15/2022 7:04,4.5,H50
6/15/2022 8:04,16,H50
6/15/2022 9:04,24.5,H50
6/15/2022 10:04,32.5,H50
6/15/2022 11:04,35.5,H50
6/15/2022 12:04,37,H50
6/15/2022 13:04,38,H50
6/15/2022 14:04,39,H50
6/15/2022 15:04,38.5,H50
6/15/2022 16:04,35.5,H50
6/15/2022 17:04,32.5,H50
6/15/2022 18:04,29.5,H50
6/15/2022 19:04,22.5,H50
6/15/2022 20:04,16.5,H50
6/15/2022 21:04,14,H50
6/15/2022 22:04,12.5,H50
6/15/2022 23:04,12,H50
6/16/2022 0:04,11,H50
6/16/2022 1:04,11,H50
6/16/2022 2:04,10.5,H50
6/16/2022 3:04,10,H50
6/16/2022 4:04,10,H50
6/16/2022 5:04,9.5,H50
6/16/2022 6:04,10,H50
6/16/2022 7:04,11,H50
6/16/2022 8:04,19,H50
6/16/2022 9:04,26.5,H50
6/16/2022 10:04,26.5,H50
6/16/2022 11:04,28.5,H50
6/16/2022 12:04,32,H50
6/16/2022 13:04,32,H50
6/16/2022 14:04,30.5,H50
6/16/2022 15:04,28,H50
6/16/2022 16:04,27,H50
6/16/2022 17:04,25,H50
6/16/2022 18:04,23.5,H50
6/16/2022 19:04,18,H50
6/16/2022 20:04,14,H50
6/16/2022 21:04,11.5,H50
6/16/2022 22:04,10.5,H50
6/16/2022 23:04,9.5,H50
6/17/2022 0:04,9,H50
6/17/2022 1:04,10,H50
6/17/2022 2:04,10,H50
6/17/2022 3:04,8.5,H50
6/17/2022 4:04,5,H50
6/17/2022 5:04,6,H50
6/17/2022 6:04,6,H50
6/17/2022 7:04,6.5,H50
6/17/2022 8:04,8.5,H50
6/17/2022 9:04,10,H50
6/17/2022 10:04,16,H50
6/17/2022 11:04,27,H50
6/17/2022 12:04,30.5,H50
6/17/2022 13:04,21,H50
6/17/2022 14:04,17,H50
6/17/2022 15:04,16.5,H50
6/17/2022 16:04,20.5,H50
6/17/2022 17:04,22,H50
6/17/2022 18:04,12.5,H50
6/17/2022 19:04,10,H50
6/17/2022 20:04,5.5,H50
6/17/2022 21:04,2.5,H50
6/17/2022 22:04,0.5,H50
6/17/2022 23:04,-0.5,H50
6/18/2022 0:04,-1.5,H50
6/18/2022 1:04,-2,H50
6/18/2022 2:04,-2,H50
6/18/2022 3:04,-2.5,H50
6/18/2022 4:04,-2.5,H50
6/18/2022 5:04,-3,H50
6/18/2022 6:04,-2.5,H50
6/18/2022 7:04,-2,H50
6/18/2022 8:04,6,H50
6/18/2022 9:04,16,H50
6/18/2022 10:04,22.5,H50
6/18/2022 11:04,26,H50
6/18/2022 12:04,26.5,H50
6/18/2022 13:04,19,H50
6/18/2022 14:04,26,H50
6/18/2022 15:04,19,H50
6/18/2022 16:04,17,H50
6/18/2022 17:04,11.5,H50
6/18/2022 18:04,13,H50
6/18/2022 19:04,9.5,H50
6/18/2022 20:04,4,H50
6/18/2022 21:04,1.5,H50
6/18/2022 22:04,1,H50
6/18/2022 23:04,0.5,H50
6/19/2022 0:04,0,H50
6/19/2022 1:04,-0.5,H50
6/19/2022 2:04,-1,H50
6/19/2022 3:04,-1,H50
6/19/2022 4:04,-1.5,H50
6/19/2022 5:04,-2,H50
6/19/2022 6:04,-2,H50
6/19/2022 7:04,-1.5,H50
6/19/2022 8:04,10,H50
6/19/2022 9:04,5,H50
6/19/2022 10:04,22.5,H50
6/19/2022 11:04,29.5,H50
6/19/2022 12:04,34,H50
6/19/2022 13:04,31,H50
6/19/2022 14:04,27,H50
6/19/2022 15:04,26.5,H50
6/19/2022 16:04,20.5,H50
6/19/2022 17:04,15,H50
6/19/2022 18:04,13,H50
6/19/2022 19:04,11,H50
6/19/2022 20:04,7,H50
6/19/2022 21:04,5.5,H50
6/19/2022 22:04,4.5,H50
6/19/2022 23:04,4,H50
6/20/2022 0:04,4,H50
6/20/2022 1:04,3,H50
6/20/2022 2:04,2.5,H50
6/20/2022 3:04,1.5,H50
6/20/2022 4:04,0.5,H50
6/20/2022 5:04,0.5,H50
6/20/2022 6:04,1,H50
6/20/2022 7:04,2.5,H50
6/20/2022 8:04,11.5,H50
6/20/2022 9:04,21.5,H50
6/20/2022 10:04,25,H50
6/20/2022 11:04,25,H50
6/20/2022 12:04,24.5,H50
6/20/2022 13:04,22.5,H50
6/20/2022 14:04,27.5,H50
6/20/2022 15:04,28.5,H50
6/20/2022 16:04,23,H50
6/20/2022 17:04,24,H50
6/20/2022 18:04,16.5,H50
6/20/2022 19:04,15,H50
6/20/2022 20:04,12.5,H50
6/20/2022 21:04,9.5,H50
6/20/2022 22:04,8,H50
6/20/2022 23:04,7,H50
