raw_date_time,temp,otm
6/13/2022 13:18,16,H94
6/13/2022 14:18,16,H94
6/13/2022 15:18,15,H94
6/13/2022 16:18,17.5,H94
6/13/2022 17:18,16,H94
6/13/2022 18:18,14,H94
6/13/2022 19:18,12.5,H94
6/13/2022 20:18,8,H94
6/13/2022 21:18,3,H94
6/13/2022 22:18,2,H94
6/13/2022 23:18,0.5,H94
6/14/2022 0:18,0,H94
6/14/2022 1:18,-0.5,H94
6/14/2022 2:18,-2,H94
6/14/2022 3:18,-3,H94
6/14/2022 4:18,-3.5,H94
6/14/2022 5:18,-4.5,H94
6/14/2022 6:18,-4,H94
6/14/2022 7:18,-2,H94
6/14/2022 8:18,0.5,H94
6/14/2022 9:18,10.5,H94
6/14/2022 10:18,17.5,H94
6/14/2022 11:18,24,H94
6/14/2022 12:18,27.5,H94
6/14/2022 13:18,28.5,H94
6/14/2022 14:18,27,H94
6/14/2022 15:18,25.5,H94
6/14/2022 16:18,26.5,H94
6/14/2022 17:18,24.5,H94
6/14/2022 18:18,22,H94
6/14/2022 19:18,20,H94
6/14/2022 20:18,13.5,H94
6/14/2022 21:18,9,H94
6/14/2022 22:18,8,H94
6/14/2022 23:18,7.5,H94
6/15/2022 0:18,6,H94
6/15/2022 1:18,5,H94
6/15/2022 2:18,3.5,H94
6/15/2022 3:18,2.5,H94
6/15/2022 4:18,2,H94
6/15/2022 5:18,2.5,H94
6/15/2022 6:18,2.5,H94
6/15/2022 7:18,3,H94
6/15/2022 8:18,6,H94
6/15/2022 9:18,14.5,H94
6/15/2022 10:18,20.5,H94
6/15/2022 11:18,26.5,H94
6/15/2022 12:18,30,H94
6/15/2022 13:18,34,H94
6/15/2022 14:18,36,H94
6/15/2022 15:18,38,H94
6/15/2022 16:18,33,H94
6/15/2022 17:18,31,H94
6/15/2022 18:18,26.5,H94
6/15/2022 19:18,22.5,H94
6/15/2022 20:18,18,H94
6/15/2022 21:18,13.5,H94
6/15/2022 22:18,12,H94
6/15/2022 23:18,11.5,H94
6/16/2022 0:18,11,H94
6/16/2022 1:18,11,H94
6/16/2022 2:18,10.5,H94
6/16/2022 3:18,10,H94
6/16/2022 4:18,10,H94
6/16/2022 5:18,9.5,H94
6/16/2022 6:18,10,H94
6/16/2022 7:18,10,H94
6/16/2022 8:18,11,H94
6/16/2022 9:18,17,H94
6/16/2022 10:18,20,H94
6/16/2022 11:18,24,H94
6/16/2022 12:18,27,H94
6/16/2022 13:18,27.5,H94
6/16/2022 14:18,28,H94
6/16/2022 15:18,26,H94
6/16/2022 16:18,25.5,H94
6/16/2022 17:18,24,H94
6/16/2022 18:18,22,H94
6/16/2022 19:18,18,H94
6/16/2022 20:18,14,H94
6/16/2022 21:18,11.5,H94
6/16/2022 22:18,10,H94
6/16/2022 23:18,9.5,H94
6/17/2022 0:18,8.5,H94
6/17/2022 1:18,9.5,H94
6/17/2022 2:18,9,H94
6/17/2022 3:18,7,H94
6/17/2022 4:18,3.5,H94
6/17/2022 5:18,5.5,H94
6/17/2022 6:18,5,H94
6/17/2022 7:18,6.5,H94
6/17/2022 8:18,7.5,H94
6/17/2022 9:18,8,H94
6/17/2022 10:18,13,H94
6/17/2022 11:18,18.5,H94
6/17/2022 12:18,21.5,H94
6/17/2022 13:18,13.5,H94
6/17/2022 14:18,12.5,H94
6/17/2022 15:18,14,H94
6/17/2022 16:18,16.5,H94
6/17/2022 17:18,16,H94
6/17/2022 18:18,9,H94
6/17/2022 19:18,7,H94
6/17/2022 20:18,5,H94
6/17/2022 21:18,1,H94
6/17/2022 22:18,-0.5,H94
6/17/2022 23:18,-1.5,H94
6/18/2022 0:18,-2,H94
6/18/2022 1:18,-2.5,H94
6/18/2022 2:18,-3,H94
6/18/2022 3:18,-3.5,H94
6/18/2022 4:18,-4,H94
6/18/2022 5:18,-4,H94
6/18/2022 6:18,-3.5,H94
6/18/2022 7:18,-3,H94
6/18/2022 8:18,-1.5,H94
6/18/2022 9:18,5,H94
6/18/2022 10:18,11,H94
6/18/2022 11:18,15,H94
6/18/2022 12:18,19.5,H94
6/18/2022 13:18,11.5,H94
6/18/2022 14:18,20,H94
6/18/2022 15:18,11,H94
6/18/2022 16:18,10.5,H94
6/18/2022 17:18,8,H94
6/18/2022 18:18,11,H94
6/18/2022 19:18,7.5,H94
6/18/2022 20:18,2.5,H94
6/18/2022 21:18,0.5,H94
6/18/2022 22:18,0,H94
6/18/2022 23:18,-0.5,H94
6/19/2022 0:18,-1,H94
6/19/2022 1:18,-2,H94
6/19/2022 2:18,-2,H94
6/19/2022 3:18,-2,H94
6/19/2022 4:18,-1.5,H94
6/19/2022 5:18,-2.5,H94
6/19/2022 6:18,-2.5,H94
6/19/2022 7:18,-2,H94
6/19/2022 8:18,1,H94
6/19/2022 9:18,5,H94
6/19/2022 10:18,12.5,H94
6/19/2022 11:18,16.5,H94
6/19/2022 12:18,20,H94
6/19/2022 13:18,22,H94
6/19/2022 14:18,20.5,H94
6/19/2022 15:18,21.5,H94
6/19/2022 16:18,17.5,H94
6/19/2022 17:18,15,H94
6/19/2022 18:18,12,H94
6/19/2022 19:18,12.5,H94
6/19/2022 20:18,8.5,H94
6/19/2022 21:18,5,H94
6/19/2022 22:18,4.5,H94
6/19/2022 23:18,3.5,H94
6/20/2022 0:18,3,H94
6/20/2022 1:18,2.5,H94
6/20/2022 2:18,2,H94
6/20/2022 3:18,0.5,H94
6/20/2022 4:18,0,H94
6/20/2022 5:18,-1.5,H94
6/20/2022 6:18,-1,H94
6/20/2022 7:18,0.5,H94
6/20/2022 8:18,3,H94
6/20/2022 9:18,13,H94
6/20/2022 10:18,16.5,H94
6/20/2022 11:18,22.5,H94
6/20/2022 12:18,21.5,H94
6/20/2022 13:18,21,H94
6/20/2022 14:18,30,H94
6/20/2022 15:18,33.5,H94
6/20/2022 16:18,27.5,H94
6/20/2022 17:18,26.5,H94
6/20/2022 18:18,17.5,H94
6/20/2022 19:18,16,H94
6/20/2022 20:18,13.5,H94
6/20/2022 21:18,9.5,H94
6/20/2022 22:18,8.5,H94
6/20/2022 23:18,7,H94
6/21/2022 0:18,7,H94
6/21/2022 1:18,7,H94
6/21/2022 2:18,6.5,H94
6/21/2022 3:18,6,H94
6/21/2022 4:18,6,H94
6/21/2022 5:18,5.5,H94
6/21/2022 6:18,5,H94
6/21/2022 7:18,6,H94
6/21/2022 8:18,8,H94
6/21/2022 9:18,14.5,H94
6/21/2022 10:18,20,H94
6/21/2022 11:18,24.5,H94
6/21/2022 12:18,28.5,H94
6/21/2022 13:18,32.5,H94
6/21/2022 14:18,35.5,H94
6/21/2022 15:18,35,H94
6/21/2022 16:18,36,H94
6/21/2022 17:18,32.5,H94
6/21/2022 18:18,30,H94
6/21/2022 19:18,28,H94
6/21/2022 20:18,22,H94
6/21/2022 21:18,15.5,H94
6/21/2022 22:18,14,H94
6/21/2022 23:18,13.5,H94
6/22/2022 0:18,12,H94
6/22/2022 1:18,11.5,H94
6/22/2022 2:18,10.5,H94
6/22/2022 3:18,11,H94
6/22/2022 4:18,11,H94
6/22/2022 5:18,10,H94
6/22/2022 6:18,10,H94
6/22/2022 7:18,11,H94
6/22/2022 8:18,13,H94
6/22/2022 9:18,21,H94
6/22/2022 10:18,27.5,H94
6/22/2022 11:18,31.5,H94
6/22/2022 12:18,35.5,H94
6/22/2022 13:18,40,H94
6/22/2022 14:18,39.5,H94
6/22/2022 15:18,41,H94
6/22/2022 16:18,39.5,H94
6/22/2022 17:18,35.5,H94
6/22/2022 18:18,32,H94
6/22/2022 19:18,28.5,H94
6/22/2022 20:18,22.5,H94
6/22/2022 21:18,17.5,H94
6/22/2022 22:18,16,H94
6/22/2022 23:18,15,H94
6/23/2022 0:18,15,H94
6/23/2022 1:18,14,H94
6/23/2022 2:18,13,H94
6/23/2022 3:18,12.5,H94
6/23/2022 4:18,11.5,H94
6/23/2022 5:18,11.5,H94
6/23/2022 6:18,11.5,H94
6/23/2022 7:18,12,H94
6/23/2022 8:18,15,H94
6/23/2022 9:18,17,H94
6/23/2022 10:18,18,H94
6/23/2022 11:18,19.5,H94
6/23/2022 12:18,21.5,H94
6/23/2022 13:18,28,H94
6/23/2022 14:18,32,H94
6/23/2022 15:18,36,H94
6/23/2022 16:18,29,H94
6/23/2022 17:18,18,H94
6/23/2022 18:18,10,H94
6/23/2022 19:18,10.5,H94
6/23/2022 20:18,13,H94
6/23/2022 21:18,11,H94
6/23/2022 22:18,11,H94
6/23/2022 23:18,10,H94
6/24/2022 0:18,10,H94
6/24/2022 1:18,9.5,H94
6/24/2022 2:18,9.5,H94
6/24/2022 3:18,9.5,H94
6/24/2022 4:18,9,H94
6/24/2022 5:18,9,H94
6/24/2022 6:18,9,H94
6/24/2022 7:18,10,H94
6/24/2022 8:18,11,H94
6/24/2022 9:18,20,H94
6/24/2022 10:18,26.5,H94
6/24/2022 11:18,30,H94
6/24/2022 12:18,23,H94
6/24/2022 13:18,36.5,H94
6/24/2022 14:18,39.5,H94
6/24/2022 15:18,41,H94
6/24/2022 16:18,40.5,H94
6/24/2022 17:18,29.5,H94
6/24/2022 18:18,24.5,H94
6/24/2022 19:18,22.5,H94
6/24/2022 20:18,20.5,H94
6/24/2022 21:18,16.5,H94
6/24/2022 22:18,14.5,H94
6/24/2022 23:18,14.5,H94
6/25/2022 0:18,14,H94
6/25/2022 1:18,13,H94
6/25/2022 2:18,12.5,H94
6/25/2022 3:18,12,H94
6/25/2022 4:18,11.5,H94
6/25/2022 5:18,11,H94
6/25/2022 6:18,11,H94
6/25/2022 7:18,11.5,H94
6/25/2022 8:18,13,H94
