raw_date_time,temp,otm
6/13/2022 14:10,17,H1
6/13/2022 15:10,15,H1
6/13/2022 16:10,17,H1
6/13/2022 17:10,16,H1
6/13/2022 18:10,15.5,H1
6/13/2022 19:10,13,H1
6/13/2022 20:10,9,H1
6/13/2022 21:10,4,H1
6/13/2022 22:10,2.5,H1
6/13/2022 23:10,2,H1
6/14/2022 0:10,1,H1
6/14/2022 1:10,0.5,H1
6/14/2022 2:10,0,H1
6/14/2022 3:10,-1,H1
6/14/2022 4:10,-1.5,H1
6/14/2022 5:10,-2.5,H1
6/14/2022 6:10,-2,H1
6/14/2022 7:10,-0.5,H1
6/14/2022 8:10,0,H1
6/14/2022 9:10,8.5,H1
6/14/2022 10:10,16.5,H1
6/14/2022 11:10,23,H1
6/14/2022 12:10,26,H1
6/14/2022 13:10,30,H1
6/14/2022 14:10,27,H1
6/14/2022 15:10,27,H1
6/14/2022 16:10,26.5,H1
6/14/2022 17:10,23.5,H1
6/14/2022 18:10,22.5,H1
6/14/2022 19:10,21,H1
6/14/2022 20:10,14,H1
6/14/2022 21:10,9.5,H1
6/14/2022 22:10,9,H1
6/14/2022 23:10,8,H1
6/15/2022 0:10,7,H1
6/15/2022 1:10,6.5,H1
6/15/2022 2:10,4.5,H1
6/15/2022 3:10,4,H1
6/15/2022 4:10,3.5,H1
6/15/2022 5:10,4,H1
6/15/2022 6:10,4.5,H1
6/15/2022 7:10,4.5,H1
6/15/2022 8:10,5.5,H1
6/15/2022 9:10,12.5,H1
6/15/2022 10:10,19.5,H1
6/15/2022 11:10,26.5,H1
6/15/2022 12:10,29.5,H1
6/15/2022 13:10,34.5,H1
6/15/2022 14:10,38.5,H1
6/15/2022 15:10,38.5,H1
6/15/2022 16:10,36.5,H1
6/15/2022 17:10,31.5,H1
6/15/2022 18:10,28.5,H1
6/15/2022 19:10,24.5,H1
6/15/2022 20:10,20,H1
6/15/2022 21:10,15,H1
6/15/2022 22:10,13,H1
6/15/2022 23:10,12,H1
6/16/2022 0:10,12,H1
6/16/2022 1:10,12,H1
6/16/2022 2:10,11.5,H1
6/16/2022 3:10,11,H1
6/16/2022 4:10,11,H1
6/16/2022 5:10,10.5,H1
6/16/2022 6:10,10.5,H1
6/16/2022 7:10,10.5,H1
6/16/2022 8:10,11,H1
6/16/2022 9:10,16,H1
6/16/2022 10:10,19.5,H1
6/16/2022 11:10,21.5,H1
6/16/2022 12:10,25,H1
6/16/2022 13:10,26,H1
6/16/2022 14:10,26,H1
6/16/2022 15:10,25.5,H1
6/16/2022 16:10,25.5,H1
6/16/2022 17:10,23.5,H1
6/16/2022 18:10,22,H1
6/16/2022 19:10,19.5,H1
6/16/2022 20:10,15.5,H1
6/16/2022 21:10,12,H1
6/16/2022 22:10,10.5,H1
6/16/2022 23:10,10,H1
6/17/2022 0:10,9.5,H1
6/17/2022 1:10,10,H1
6/17/2022 2:10,10,H1
6/17/2022 3:10,8.5,H1
6/17/2022 4:10,4.5,H1
6/17/2022 5:10,6,H1
6/17/2022 6:10,5.5,H1
6/17/2022 7:10,6.5,H1
6/17/2022 8:10,7.5,H1
6/17/2022 9:10,8,H1
6/17/2022 10:10,11,H1
6/17/2022 11:10,17.5,H1
6/17/2022 12:10,20.5,H1
6/17/2022 13:10,14.5,H1
6/17/2022 14:10,14,H1
6/17/2022 15:10,13,H1
6/17/2022 16:10,17.5,H1
6/17/2022 17:10,18.5,H1
6/17/2022 18:10,12,H1
6/17/2022 19:10,10,H1
6/17/2022 20:10,6,H1
6/17/2022 21:10,2,H1
6/17/2022 22:10,0,H1
6/17/2022 23:10,-1,H1
6/18/2022 0:10,-1.5,H1
6/18/2022 1:10,-2,H1
6/18/2022 2:10,-2,H1
6/18/2022 3:10,-3,H1
6/18/2022 4:10,-3,H1
6/18/2022 5:10,-3,H1
6/18/2022 6:10,-3,H1
6/18/2022 7:10,-2.5,H1
6/18/2022 8:10,-1.5,H1
6/18/2022 9:10,4,H1
6/18/2022 10:10,9,H1
6/18/2022 11:10,16,H1
6/18/2022 12:10,15,H1
6/18/2022 13:10,11,H1
6/18/2022 14:10,22,H1
6/18/2022 15:10,11.5,H1
6/18/2022 16:10,11,H1
6/18/2022 17:10,8.5,H1
6/18/2022 18:10,10.5,H1
6/18/2022 19:10,11.5,H1
6/18/2022 20:10,3.5,H1
6/18/2022 21:10,1,H1
6/18/2022 22:10,0.5,H1
6/18/2022 23:10,0,H1
6/19/2022 0:10,-0.5,H1
6/19/2022 1:10,-1,H1
6/19/2022 2:10,-1.5,H1
6/19/2022 3:10,-1.5,H1
6/19/2022 4:10,-1.5,H1
6/19/2022 5:10,-2,H1
6/19/2022 6:10,-2.5,H1
6/19/2022 7:10,-2,H1
6/19/2022 8:10,-1,H1
6/19/2022 9:10,-0.5,H1
6/19/2022 10:10,9.5,H1
6/19/2022 11:10,16.5,H1
6/19/2022 12:10,19.5,H1
6/19/2022 13:10,21.5,H1
6/19/2022 14:10,21.5,H1
6/19/2022 15:10,21.5,H1
6/19/2022 16:10,18,H1
6/19/2022 17:10,14.5,H1
6/19/2022 18:10,12,H1
6/19/2022 19:10,11,H1
6/19/2022 20:10,9.5,H1
6/19/2022 21:10,5.5,H1
6/19/2022 22:10,5,H1
6/19/2022 23:10,4.5,H1
6/20/2022 0:10,4,H1
6/20/2022 1:10,3.5,H1
6/20/2022 2:10,3,H1
6/20/2022 3:10,2,H1
6/20/2022 4:10,0,H1
6/20/2022 5:10,-1,H1
6/20/2022 6:10,-0.5,H1
6/20/2022 7:10,1,H1
6/20/2022 8:10,2,H1
6/20/2022 9:10,11.5,H1
6/20/2022 10:10,18.5,H1
6/20/2022 11:10,22.5,H1
6/20/2022 12:10,24.5,H1
6/20/2022 13:10,25.5,H1
6/20/2022 14:10,32.5,H1
6/20/2022 15:10,35,H1
6/20/2022 16:10,30,H1
6/20/2022 17:10,33.5,H1
6/20/2022 18:10,22,H1
6/20/2022 19:10,19,H1
6/20/2022 20:10,19,H1
6/20/2022 21:10,11.5,H1
6/20/2022 22:10,9.5,H1
6/20/2022 23:10,8,H1
6/21/2022 0:10,7.5,H1
6/21/2022 1:10,7,H1
6/21/2022 2:10,7,H1
6/21/2022 3:10,6,H1
